node,pagerank,in_degree,out_degree,betweenness,fraud_count,avg_fraud_prob,is_fraud_node,node_short,risk_label
21b660b2b84e2d1056b05dee281de334541225126318f5993f05d13220464c04,0.0001490125069699,1,0,0.0,0,0.06740753,0,21b660b2b84e,Low
a2bb4be795eccdad3da55734a17d9c71788d8eab5a1d2c05cab82b1780eeea6b,0.0001490125069699,1,0,0.0,0,0.085603006,0,a2bb4be795ec,Low
3f3251239d9015c9c0e02cfabbf68b06586c6e661947c5b0a02010dddb60bcdf,0.0001490125069699,2,0,0.0,2,0.7508260600000001,1,3f3251239d90,High
af3099421efb5381e9db6421f82088e81894889d003f89c26dd50cd02bce678b,0.0001490125069699,1,0,0.0,0,0.41893113,0,af3099421efb,Medium
c439a26862eab136db5f316cf58960759e1e71a540f42b32f018212a398a930d,0.0001490125069699,1,0,0.0,0,0.1285566,0,c439a26862ea,Low
732c2653831a70edf59f15327f920ef89f1cbf1d0825238ac63d94de9939d896,0.0001490125069699,1,0,0.0,0,0.03860139,0,732c2653831a,Low
943ed89ac781ef5cc62dad7661e64bc6ce181bc25daa3848f2880e6119093fbc,0.0001490125069699,1,0,0.0,0,0.077577226,0,943ed89ac781,Low
a2e6cde60685d6abd2594e98fbe2a2b0a16234d757517001c960369e522eecdc,0.0001490125069699,1,0,0.0,0,0.061489075,0,a2e6cde60685,Low
e693a860736037d72c5d573d9ec163f4fe065ff2954923bdceac4d4a727cab70,0.0001490125069699,1,0,0.0,0,0.019115694,0,e693a8607360,Low
01c95cf29bcd921201fc7f639548c732bc776613c3d07864ba0e2315c38a75f4,0.0001490125069699,1,0,0.0,0,0.06281966,0,01c95cf29bcd,Low
b6831c3d8dec1246a2293b5117fa2b5354470fc469a78bb27db19cb0bfa84b20,0.0001490125069699,2,0,0.0,0,0.061151434,0,b6831c3d8dec,Low
c627c7b5cd0d41fd0bc016b241ca19fff2da9a7f225c065a028dcaa3402ebaa7,0.0001490125069699,1,0,0.0,0,0.04351134,0,c627c7b5cd0d,Low
1ae6376e237f7f3d0c19405b9d404e1ff06028c2de5c85451809758467d61168,0.0001490125069699,1,0,0.0,0,0.04270581,0,1ae6376e237f,Low
39e49c6c7fcbb95112e500ff5a3cf3b0fe2adf9b667189aeb0322ab0a2018d96,0.0001490125069699,1,0,0.0,0,0.051806558,0,39e49c6c7fcb,Low
4eab7b37597b9995cbb8d8afd6aff5b5a85fb84fe31227645a19e84142940529,0.0001490125069699,1,1,0.0001406227159771,0,0.334830485,0,4eab7b37597b,Medium
e0d58035fa66916c4e0c56491815065b5eb2b29b8696118d00bd69d733d79f02,0.0001490125069699,1,0,0.0,0,0.06776848,0,e0d58035fa66,Low
9203f5ebb08fee8355b03b0f7ebf4aa98cc3687a836cf45ca311fd8824522853,0.0001490125069699,1,39,0.0024876480046776,0,0.0883951762,0,9203f5ebb08f,Low
6c4010f6e92ebb31389876d8ab06cb6c2b1c8cea02ef294202e3234382469680,0.0001490125069699,2,0,0.0,0,0.03714979,0,6c4010f6e92e,Low
e420635a3ceab89714f865d15da34432a509f96f93ae44c032c690f522210b1f,0.0001490125069699,1,0,0.0,0,0.013973681,0,e420635a3cea,Low
89d7e5b5132b1f76b118a12978ab1ea09d3937b830af2ffd26932b12fa24e67e,0.0001490125069699,1,0,0.0,0,0.02522393,0,89d7e5b5132b,Low
59c74c32b95e3b8857cc8a9c4279c251ae42b6faa51eeda65c88a68f9a8d3bc4,0.0001490125069699,1,0,0.0,0,0.07513857,0,59c74c32b95e,Low
ee1952c034e1bd61d86d818c59a003844ae19c678acd36ace7bbeee6f6cfac0e,0.0001490125069699,1,0,0.0,0,0.076018006,0,ee1952c034e1,Low
584ec66be589c6ac6d64fd24a87d92c70c9530c857c7e3aca6652e1fc79edb7f,0.0001490125069699,1,6,0.0001406227159771,0,0.0996613654285714,0,584ec66be589,Low
c7619294ffc5b31d12efa0478ca4d7c95a79e86ee67a77144c247aa2b4ab6a27,0.0001490125069699,1,0,0.0,0,0.06790638,0,c7619294ffc5,Low
